is_spam,sms,Predicted_Labels
0,go jurong point crazi avail bugi n great world la e bufet cine got amor wat,ham
0,ok lar joke wif u oni,ham
1,fre entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc apli over,spam
0,u dun say earli hor u c alreadi say,ham
0,nah i think goe usf live around though,ham
1,fremsg hey darl wek word back id like fun stil tb ok x std chg send å rcv,ham
0,even brother like speak me they treat like aid patent,ham
0,as per request mele mele oru minaminungint nurungu vetam set calertun caler pre copi friend calertun,ham
1,winer as valu network custom select receivea å prize reward to claim cal claim code kl valid hour onli,spam
1,had mobil month more u r entitl updat late colour mobil camera fre cal the mobil updat co fre,spam
0,im gona home son want talk stuf anymor tonight k ive cri enough today,ham
1,six chanc win cash from pound txt csh send cost pday day tsandc apli repli hl info,spam
1,urgent you wek fre membership å prize jackpot txt word claim no tc lcltd pobox ldnwarw,spam
0,ive search right word thank breather i promis wont take help grant fulfil promis you wonder blese time,ham
0,i have a date on sunday with wil,ham
1,xmobilemovieclub to use credit click wap link next txt mesag click here xmobilemovieclubcomnqjkgighjgcbl,spam
0,oh kim watch here,ham
0,eh u rememb spel name ye did he v naughti make v wet,ham
0,fine thatåõ way u fel thatåõ way gota b,ham
1,england v macedonia dont mi goalsteam news txt ur nation team eg england trywal scotland txtì¼ poboxoxwwq,ham
0,is serious spel name,ham
0,i û m go tri month ha ha joke,ham
0,so ì pay first lar then da stock comin,ham
0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,ham
0,f alright way i met soner,ham
0,just forc eat slice im reali hungri tho thi suck mark gete wori he know im sick i turn piza lol,ham
0,lol alway convinc,ham
0,did catch bu are fri eg did make tea are eat mom left diner do fel love,ham
0,im back amp were pack car now il let know there rom,ham
0,ah work i vagu rememb that what fel like lol,ham
0,wait that stil clear sure sarcast that x want live us,ham
0,yeah got v apologet n falen actin like spoilt child got caught that til but go there not badli cher you,ham
0,k tel anyth you,ham
0,for fear faint housework did quick cupa,ham
1,thank subscript rington uk mobil charg å month pleas confirm repli ye no if repli no charg,spam
0,yup ok go home lok time msg ì again xuhui go learn nd may leson am,ham
0,op il let know romat done,ham
0,i se leter b car,ham
0,anyth lor u decid,ham
0,helo how saturday go i text se decid anyth tomo not im tri invit anyth,ham
0,pl go ahead wat i want sure do great wekend abiola,ham
0,did i forget tel i want i ned you i crave but i love swet arabian sted m yumi,ham
1,rodger burn msg we tri cal repli sm fre nokia mobil fre camcord pleas cal deliveri tomorow,spam
0,who are you se,ham
0,great i hope like man wel endow i ltgt inch,ham
0,no calsmesagesmis cal,ham
0,didnt get hep b imunis nigeria,ham
0,fair enough anyth go on,ham
0,yeah hopefuli tyler cant i could mayb ask around bit,ham
0,u know stuborn i am i even want go hospit i kept tele mark im weak sucker hospit weak sucker,ham
0,what think me first time saw cla,ham
0,a gram usuali run like ltgt half eighth smart though get almost whole second gram ltgt,ham
0,k fyi x ride earli tomorow morn he crash place tonight,ham
0,wow i never realiz embaras acomod i thought like it sinc best could alway seme hapi the cave im sori i give im sori ofer im sori rom embaras,ham
1,sm ac sptv the new jersey devil detroit red wing play ice hockey corect incorect end repli end sptv,ham
0,do know malika sherawat yesterday find lturlgt,ham
1,congrat year special cinema pa your cal now c suprman v matrix starwar etc fre bxipw pm dont mi out,spam
0,sori il cal late mete,ham
0,tel reach,ham
0,yesgauti sehwag odi seri,ham
0,your gona pick burger way home i cant even move pain kile me,ham
0,ha ha ha god joke girl situat seker,ham
0,it part check iq,ham
0,sori romat tok forev ok i come now,ham
0,ok lar doubl check wif da hair dreser alreadi said wun cut v short he said cut lok nice,ham
1,as valu custom i pleas advis folow recent review mob no award å bonu prize cal,spam
0,today song dedic day which song u dedic me send ur valuabl frnd first rpli me,ham
1,urgent ur award complimentari trip eurodisinc trav acoentri or å to claim txt di å morefrmob shracomorsglsuplt ls aj,spam
1,did hear new divorc barbi it come ken stuf,ham
0,i plane give month end,ham
0,wah lucki man then save money he,ham
0,finish cla you,ham
0,hi babe im at home now wana do someth x,ham
0,kwhere youhow perform,ham
0,u cal now,spam
0,i wait machan cal fre,ham
0,that col gentleman treat digniti respect,ham
0,i like peopl much shi pa,ham
0,doe oper ltgt,ham
0,it here stil loke job how much ta earn there,ham
0,sori il cal late,ham
0,k did cal ah,ham
0,ok way home hi hi,ham
0,you place man,ham
0,yup next stop,ham
0,i cal late network if urgnt sm me,ham
0,for real u gete yo i ned ticket one jacket im done i alreadi use multi,ham
0,ye i start send request make pain came back im back bed doubl coin factori to i gota cash nitro,ham
0,im reali stil tonight babe,ham
0,ela kanoil download come wen ur fre,ham
0,yeah do don û t stand close tho you û l catch someth,ham
0,sori pain is ok met anoth night i spent late afternon casualti mean done stufmoro includ time shet that sori,ham
0,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon stil love se u smile,ham
1,pleas cal custom servic repres ampm won guarant å cash å prize,spam
